S.No.,Basin Name,Station Name,District,1 hour,3 hour,6 hour,12 hour,24 hour,Status
1,Narayani,Archale,Palpa,0,0,0,0,0,BELOW WARNING LEVEL
2,Koshi,Sundarpur,Udayapur,0,0,0,0,0,BELOW WARNING LEVEL
3,Mohana,Dhangadhi airport,Kailali,0,0,0,0,0,BELOW WARNING LEVEL
4,Bagmati,Sundarijal,Kathmandu,0,0,0,0,0,BELOW WARNING LEVEL
5,Kankai,Anarmani Birta,Jhapa,0,0,0,0,0,BELOW WARNING LEVEL
6,Koshi,Dhap (Tarnamlang),Sindhupaichowk,0,0,0,0,0,BELOW WARNING LEVEL
7,Mahakali,Sundarpur,Kanchanpur,0,0,2,2,2.2,BELOW WARNING LEVEL
8,West Rapti,Dhakeri,Banke,0,0,0,0,0,BELOW WARNING LEVEL
9,Tinau,Baldyanggadi,Palpa,0,0,0,0,0,BELOW WARNING LEVEL
10,Karnali,Surkhet Airport (Birendranagar),Surkhet,0,0,0,0,0,BELOW WARNING LEVEL
11,Karnali,Daulatpur,Bardiya,0,0,0,0,0,BELOW WARNING LEVEL
12,Mahakali,Darchula New,Darchula,0,0,0,0,0,BELOW WARNING LEVEL
13,Narayani,Darbang,Myagdi,0,0,0,0,0,BELOW WARNING LEVEL
15,Karnali,Surkhet at Ratanangla,Surkhet,0,1,2.2,2.2,2.4,BELOW WARNING LEVEL
16,Karnali,Aurahikhola at Godana,Bardiya,0,0,0,0,0,BELOW WARNING LEVEL
17,Narayani,Danda,Nawalparasi East,0,0,0,0,0,BELOW WARNING LEVEL
18,Koshi,Tumlingtar,Sankhuwasabha,0,0,0,0,0,BELOW WARNING LEVEL
19,Narayani,Daman,Makwanpur,0,0,0,0,0,BELOW WARNING LEVEL
20,Koshi,Arun at Turkeghat,Sankhuwasabha,0,0,0,0,0,BELOW WARNING LEVEL
21,Bagmati,Dhap Dam AWS,Kathmandu,0,0,0,0,0,BELOW WARNING LEVEL
22,Kankai,Soktim Tea State,Illam,0,0,0,0,0,BELOW WARNING LEVEL
23,Balan-Khado,Dhodhana,Siraha,0,0,0,0,0,BELOW WARNING LEVEL
24,Karnali,Gamadi Shree Nagar,Mugu,0,0.4,0.6,0.6,2.6,BELOW WARNING LEVEL
25,Narayani,Aadhi Khola at Borlangpul (Rainfall),Syangja,0,0,0,0,0,BELOW WARNING LEVEL
26,Narayani,Gajuri,Dhading,0,0,0,0,0,BELOW WARNING LEVEL
28,Mahakali,Gaira,Doti,0,0,0.2,0.2,0.2,BELOW WARNING LEVEL
29,Narayani,Sikles,Kaski,0,0,0,0,0,BELOW WARNING LEVEL
30,West Rapti,Sikta,Banke,0,0,0,0,0,BELOW WARNING LEVEL
31,Bagmati,Simara Airport_AWS,Bara,0,0,0,0,0,BELOW WARNING LEVEL
33,Koshi,Aiselukhark,Khotang,0,0,0,0,0,BELOW WARNING LEVEL
34,Bagmati,SindhuliGadi,Sindhuli,0,0,0,0,0,BELOW WARNING LEVEL
35,Narayani,Amlekhganj,Bara,0,0,0,0,0,BELOW WARNING LEVEL
36,Kankai,Damak,Jhapa,0,0,0,0,0,BELOW WARNING LEVEL
37,Koshi,Singati,Dolakha,0,0,0,0,0,BELOW WARNING LEVEL
38,Narayani,Dumkauli,Nawalparasi East,0,0,0,0,2.2,BELOW WARNING LEVEL
39,Kamala,Dudhauli,Sindhuli,0,0,0,0,0,BELOW WARNING LEVEL
40,Koshi,Dudh Koshi at Rabuwabazar,Khotang,0,0,0,0,0,BELOW WARNING LEVEL
41,Koshi,Dovan,Taplejung,0,0,0,0,0.2,BELOW WARNING LEVEL
42,Mahakali,Dodhara,Kanchanpur,0,0,1.4,1.8,1.8,BELOW WARNING LEVEL
44,Narayani,Anp Chour,Gulmi,0,0,0,0,0.6,BELOW WARNING LEVEL
45,Kamala,Siraha_Hydro,Siraha,0,0,0,0,0,BELOW WARNING LEVEL
46,Mechi,Sisne (Arjundhara),Jhapa,0,0,0,0,0,BELOW WARNING LEVEL
47,Narayani,Dhunibesi,Dhading,0,0,0,0,0,BELOW WARNING LEVEL
48,Koshi,Dhunge,Sindhupalchowk,0,0,0,0,0,BELOW WARNING LEVEL
49,Koshi,Dhulikhel,Kavrepalanchowk,0,0,0,0,0,BELOW WARNING LEVEL
50,Koshi,Duwachaur,Sindhupalchok,0,0,0,0,0,BELOW WARNING LEVEL
52,West Rapti,Swargdwari,Pyuthan,0,0,0,0,0,BELOW WARNING LEVEL
53,Bagmati,Tikathali,Lalitpur,0,0,0,0,0,BELOW WARNING LEVEL
54,Koshi,Bahrabise,Sindhupalchok,0,0,0,0,0,BELOW WARNING LEVEL
55,Koshi,Terhathum,Terhathum,0,0,0,0,0,BELOW WARNING LEVEL
56,Narayani,Thakmarpha,Mustang,0,0,0,0,0,BELOW WARNING LEVEL
58,Koshi,Tribeni (Dhankuta),Dhankuta,0,0,0,0,0,BELOW WARNING LEVEL
59,Koshi,Bhotang,Sindhupalchowk,0,0,0,0,0,BELOW WARNING LEVEL
60,Bagmati,Bhorleni,Makawanpur,0,0,0,0,0,BELOW WARNING LEVEL
61,Koshi,Bhojpur,Bhojpur,0,0,0,0,0,BELOW WARNING LEVEL
62,Tinau,Tilottama,Rupandehi,0,0,0,0,0,BELOW WARNING LEVEL
63,Keshaliya,Bahuni,Morang,0,0,0,0,0,BELOW WARNING LEVEL
64,Narayani,Bharse,Gulmi,0,0,0,0,0.4,BELOW WARNING LEVEL
65,Tinau,Bhairahawa_AWOS_10,Rupandehi,0,0,0,0,0,BELOW WARNING LEVEL
66,Narayani,Bimalnagar (Rainfall),Tanahu,0,0,0,0,0,BELOW WARNING LEVEL
67,Banganga,Bhagwanpur,Kapilvastu,0,0,0,0,0,BELOW WARNING LEVEL
69,Koshi,Bedding Rainfall,Dolakha,0,0,0,0,0,BELOW WARNING LEVEL
70,Koshi,Baunepati,Sindhupalchok,0,0,0,0,0,BELOW WARNING LEVEL
71,Karnali,Bajura,Bajura,0,0.4,1.2,1.2,3.2,BELOW WARNING LEVEL
72,Mechi,Barphalyang,Illam,0,0,0,0,0,BELOW WARNING LEVEL
73,Narayani,Barpak,Gorkha,0,0,0,0,0,BELOW WARNING LEVEL
